Label,Provider,Product,Blueprint,ReplaceProvider,ReplaceProduct,ReplaceBlueprint,ReplaceName,NumbersDcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\DoubleChimney\Tender\Jubilee Tender.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Tender\tender_stanier_4000_LMS_rivets.xml,[LMS 5XP] Jubilee Tender Stanier 4000 - LMS Crimson Rivetted,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\45596 Bahamas\Engine\Jubilee-Engine-Green1.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Green,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\45596 Bahamas\Tender\Jubilee-Tender-Green1.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Tender\tender_stanier_4000_BR_late.xml,[LMS 5XP] Jubilee Tender - BR Green Late,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Lined Green\Engine\Jubilee Engine Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Green,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Lined Green\Tender\Jubilee Tender Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Tender\tender_stanier_4000_BR_late.xml,[LMS 5XP] Jubilee Tender - BR Green Late,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Lined Black\Engine\Jubilee Engine Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR_Black\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Black,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\BR Lined Black\Tender\Jubilee Tender Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR_Black\Tender\tender_stanier_4000_BR_early_rivets.xml,[LMS 5XP] Jubilee Tender - BR Black Early Rivetted,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\Default\Engine\Jubilee Engine.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR_Black\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Black,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\Default\Tender\Jubilee Tender.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR_Black\Tender\tender_stanier_4000_BR_late.xml,[LMS 5XP] Jubilee Tender - BR Black Late,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS Preserved\Engine\Jubilee Engine 5593.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\BR\Engine\jubilee_br_aws.xml,[LMS 5XP] Jubilee Loco - BR Green,RailVehicles\Steam\Jubilee\BR\Engine\JubileeNumbersBR.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS Preserved\Engine\Jubilee Engine 5690 W-Flashes.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Engine\jubilee_lms.xml,[LMS 5XP] Jubilee Loco - LMS Crimson,RailVehicles\Steam\Jubilee\LMS\Engine\JubileeNumbersLMS.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS Preserved\Engine\Jubilee Engine 5690.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Engine\jubilee_lms.xml,[LMS 5XP] Jubilee Loco - LMS Crimson,RailVehicles\Steam\Jubilee\LMS\Engine\JubileeNumbersLMS.dcsv
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS Preserved\Tender\Jubilee Tender Green W-Flashes.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Tender\tender_stanier_4000_LMS_rivets.xml,[LMS 5XP] Jubilee Tender Stanier 4000 - LMS Crimson Rivetted,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS Preserved\Tender\Jubilee Tender Green.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Tender\tender_stanier_4000_LMS_rivets.xml,[LMS 5XP] Jubilee Tender Stanier 4000 - LMS Crimson Rivetted,
LMS5XP,RSC,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Engine\Jubilee Engine.xml,BMG,JubileePack01,RailVehicles\Steam\Jubilee\LMS\Engine\jubilee_lms.xml,[LMS 5XP] Jubilee Loco - LMS Crimson,RailVehicles\Steam\Jubilee\LMS\Engine\JubileeNumbersLMS.dcsv
BulleidLP,DT,DT_bulleid_light_pacific_loco,257 Squadron\34072 257 Squadron\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34072#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,257 Squadron\34072 257 Squadron\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34072#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,34067_SSS_2015\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green 34067 Tangmere,34067#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,34067_SSS_2015\Engine\LP_Steam_Engine2.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green 34067 Tangmere,34067#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,34067_SSS_2015\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green 34067 Tangmere,34067#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,34067_SSS_2015\Engine\LP_Steam_EngineGA2.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green 34067 Tangmere,34067#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,34067_SSS_2015\Tender\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon (rebuilt) - BR Green Late,
BulleidLP,DT,DT_bulleid_light_pacific_loco,73 Squadron\34061 73 Squadron\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34061#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,92squad\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34081#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,92squad\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34081#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,92squad\Tender\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - BR Green Early,
BulleidLP,DT,DT_bulleid_light_pacific_loco,A Tender\92squad\Tender Apple Green\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_AppleGreen\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - BR Apple Green,
BulleidLP,DT,DT_bulleid_light_pacific_loco,A Tender\92squad\Tender Blue\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - BR Green Early,
BulleidLP,DT,DT_bulleid_light_pacific_loco,Biggin Hill Blue\34057 Biggin Hill\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34057#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Biggin Hill\34057 Biggin Hill\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34057#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Blackmore Vale\34023 Blackmore Vale\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34023#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34007#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,britishrailways\Engine\LP_Steam_Engine_BRGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34007#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Bude\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34006#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Budleigh Salterton Blue\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34014#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Budleigh Salterton Green\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_AppleGreen\Engine\light_pacific.xml,[LP] LP Loco - BR Apple Green,34014#00H#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Budleigh Salterton\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34014#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Chard\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34033#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,City Of Wells\34092 Wells\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34092#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Combe Martin\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34043#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Croydon 2\34056 Croydon\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34056#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Croydon\34056 Croydon\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34056#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,default\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34067#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,default\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34067#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,default\Tender\DT_LP_tender.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon (rebuilt) - BR Green Late,
BulleidLP,DT,DT_bulleid_light_pacific_loco,Dorchester Green\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_AppleGreen\Engine\light_pacific.xml,[LP] LP Loco - BR Apple Green,34042#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Dorchester\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34042#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Early BR 92 Squadron\names\LP_Steam_Engine_BR_HB.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_AppleGreen\Engine\light_pacific.xml,[LP] LP Loco - BR Apple Green,34042#00H#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Early BR 92 Squadron\southern\Engine\LP_Steam_Engine_SR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - BR Malachite Clean,34081#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Early BR 92 Squadron\southern\Engine\LP_Steam_Engine_SRDB.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - BR Malachite Clean,34081#00N#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Early BR 92 Squadron\southern\Engine\LP_Steam_Engine_SRGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - BR Malachite Clean,34081#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Early BR 92 Squadron\southern\Tender\DT_LP_tender_sr.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Malachite\Tender\lp_tender_4500gal.xml,[LP] LP Tender - 4500 Gallon - BR Malachite Clean,
BulleidLP,DT,DT_bulleid_light_pacific_loco,Fighter Command\34064 Fighter Command\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34064#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Fighter Pilot\34055 Fighter Pilot\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34055#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Hawkinge\34069 Hawkinge\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34069#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Lord Dowding\34052 Lord Dowding\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34052#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Manston\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34070#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Manston\Engine\LP_Steam_EngineGA.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific_airbrakes.xml,[LP] LP Loco - BR Green Late Clean,34070#00A#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Okehamption\southern\Engine\LP_Steam_Engine_SR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - SR Malachite Clean,34013#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Okehamption\southern\Engine\LP_Steam_Engine_SRDB.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\SR_Malachite\Engine\light_pacific.xml,[LP] LP Loco - SR Malachite Clean,34013#00N#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Padstow Blue\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34008#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Padstow\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34008#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Plymouth Blue\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green_Early\Engine\light_pacific.xml,[LP] LP Loco - BR Green Early Clean,34003#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Plymouth Green\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_AppleGreen\Engine\light_pacific.xml,[LP] LP Loco - BR Apple Green,34003#00H#R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Plymouth\britishrailways\Engine\LP_Steam_Engine_BR.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34003#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Shaftesbury\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34035#00##R5##72A#
BulleidLP,DT,DT_bulleid_light_pacific_loco,Sir Keith Park\34053 Sir Keith Park\Engine\LP_Steam_Engine.xml,BMG,BulleidPacificPack04,RailVehicles\Steam\LightPacific\BR_Green\Engine\light_pacific.xml,[LP] LP Loco - BR Green Late Clean,34053#00##R5##72A#
